ObservationDate,SNo,Confirmed,Deaths,Recovered,log_Confirmed,log_Deaths,log_Recovered,date_sec
05/10/2020,23232,3263.0,413.0,933.0,3.513617073787875,2.615950051656401,2.9698816437465,1589068800
05/11/2020,23555,3284.0,421.0,958.0,3.516403148447403,2.6242820958356683,2.9813655090785445,1589155200
05/12/2020,23878,3313.0,425.0,1007.0,3.52022143588196,2.6283889300503116,3.003029470553618,1589241600
05/13/2020,24201,3341.0,430.0,1102.0,3.523876475638131,2.6334684555795866,3.042181594515766,1589328000
05/14/2020,24524,3380.0,436.0,1169.0,3.5289167002776547,2.639486489268586,3.0678145111618402,1589414400
05/15/2020,24901,3417.0,442.0,1287.0,3.5336449787987627,2.645422269349092,3.1095785469043866,1589500800
05/16/2020,25278,3473.0,448.0,1371.0,3.5407047833107623,2.651278013998144,3.1370374547895126,1589587200
05/17/2020,25655,3509.0,451.0,1396.0,3.5451833682154064,2.6541765418779604,3.144885418287142,1589673600
05/18/2020,26032,3535.0,462.0,1400.0,3.5483894181329183,2.6646419755561257,3.146128035678238,1589760000
03/15/2020,5683,171.0,5.0,8.0,2.2329961103921536,0.6989700043360189,0.9030899869919435,1584230400
03/17/2020,6216,220.0,1.0,0.0,2.342422680822206,0.0,-inf,1584403200
03/18/2020,6495,250.0,1.0,5.0,2.3979400086720375,0.0,0.6989700043360189,1584489600
03/19/2020,6774,330.0,1.0,5.0,2.5185139398778875,0.0,0.6989700043360189,1584576000
03/21/2020,7369,473.0,1.0,22.0,2.6748611407378116,0.0,1.3424226808222062,1584748800
03/22/2020,7685,568.0,1.0,5.0,2.754348335711019,0.0,0.6989700043360189,1584835200
03/23/2020,7983,588.0,1.0,51.0,2.7693773260761385,0.0,1.7075701760979363,1584921600
03/24/2020,8278,648.0,2.0,51.0,2.8115750058705933,0.3010299956639812,1.7075701760979363,1585008000
03/25/2020,8578,737.0,2.0,56.0,2.8674674878590514,0.3010299956639812,1.7481880270062005,1585094400
03/26/2020,8880,802.0,2.0,82.0,2.9041743682841634,0.3010299956639812,1.9138138523837167,1585180800
03/27/2020,9187,890.0,2.0,97.0,2.949390006644913,0.3010299956639812,1.9867717342662448,1585267200
03/28/2020,9494,963.0,2.0,114.0,2.9836262871245345,0.3010299956639812,2.0569048513364727,1585353600
03/29/2020,9805,1020.0,2.0,135.0,3.0086001717619175,0.3010299956639812,2.130333768495006,1585440000
03/30/2020,10117,1086.0,2.0,157.0,3.035829825252828,0.3010299956639812,2.1958996524092336,1585526400
03/31/2020,10430,1135.0,2.0,198.0,3.0549958615291417,0.3010299956639812,2.296665190261531,1585612800
04/01/2020,10743,1220.0,2.0,225.0,3.0863598306747484,0.3010299956639812,2.3521825181113627,1585699200
04/02/2020,11056,1319.0,4.0,284.0,3.1202447955463652,0.6020599913279624,2.4533183400470375,1585785600
04/03/2020,11371,1364.0,4.0,309.0,3.13481437032046,0.6020599913279624,2.4899584794248346,1585872000
04/04/2020,11686,1417.0,4.0,396.0,3.1513698502474603,0.6020599913279624,2.597695185925512,1585958400
04/05/2020,12002,1486.0,4.0,428.0,3.1720188094245563,0.6020599913279624,2.6314437690131722,1586044800
04/06/2020,12321,1562.0,6.0,460.0,3.1936810295412816,0.7781512503836436,2.662757831681574,1586131200
04/07/2020,12641,1586.0,6.0,559.0,3.200303182981585,0.7781512503836436,2.747411807886423,1586217600
04/08/2020,12961,1616.0,6.0,633.0,3.208441356438567,0.7781512503836436,2.801403710017355,1586304000
04/09/2020,13281,1648.0,6.0,688.0,3.216957207361097,0.7781512503836436,2.837588438235511,1586390400
04/10/2020,13601,1675.0,7.0,751.0,3.224014811372864,0.8450980400142568,2.8756399370041685,1586476800
04/11/2020,13922,1689.0,8.0,841.0,3.227629649571009,0.9030899869919435,2.924795995797912,1586563200
04/12/2020,14243,1701.0,8.0,889.0,3.230704313612569,0.9030899869919435,2.9489017609702137,1586649600
04/13/2020,14563,1711.0,8.0,933.0,3.2332500095411003,0.9030899869919435,2.9698816437465,1586736000
04/14/2020,14883,1720.0,8.0,989.0,3.2355284469075487,0.9030899869919435,2.9951962915971793,1586822400
04/15/2020,15203,1727.0,8.0,1077.0,3.237292337567459,0.9030899869919435,3.0322157032979815,1586908800
04/16/2020,15523,1739.0,8.0,1144.0,3.2402995820027125,0.9030899869919435,3.058426024457005,1586995200
04/17/2020,15843,1754.0,9.0,1224.0,3.244029589030022,0.9542425094393249,3.087781417809542,1587081600
04/18/2020,16163,1760.0,9.0,1291.0,3.24551266781415,0.9542425094393249,3.1109262422664203,1587168000
04/19/2020,16483,1771.0,9.0,1291.0,3.248218561190075,0.9542425094393249,3.1109262422664203,1587254400
04/20/2020,16803,1773.0,10.0,1362.0,3.2487087356009177,1.0,3.1341771075767664,1587340800
04/21/2020,17123,1778.0,10.0,1417.0,3.249931756634195,1.0,3.1513698502474603,1587427200
